target_x,target_y
0.07898,0.01251
0.00879,0.0517
-0.03814,-0.07688
0.08071,0.04907
0.06382,0.01209
-0.04673,-0.00157
0.00515,0.01546
-0.07742,-0.02246
-0.03976,-0.02497
0.08989,0.00367
-0.02874,-0.08504
0.03264,0.04834
-0.05064,0.08371
0.025,0.01739
-0.07319,-0.05584
-0.01141,-0.08911
0.07219,-0.01231
-0.05827,-0.01976
-0.06697,-0.06172
-0.08208,-0.04336
0.08048,0.02384
-0.01169,0.04628
0.00305,0.02808
-0.00556,0.03129
-0.05266,0.05986
0.01531,0.05888
0.04763,-0.02003
-0.06231,-0.05097
-0.00541,-0.04101
-0.02937,0.02777
-0.06341,-0.07665
-0.0298,-0.06842
0.01493,-0.09058
0.04689,0.00959
-0.00625,0.05582
0.04301,-0.01613
-0.037,0.08599
-0.06417,0.04937
-0.09245,0.02445
0.00109,0.05145
-0.00599,0.07468
0.06124,-0.04578
0.01211,0.06203
-0.0997,-0.00597
0.02884,0.0088
-0.02305,-0.02377
-0.07856,0.04181
-0.01855,0.01707
-0.09814,-0.01816
0.06319,-0.07562
-0.00196,-0.01053
-0.08035,-0.01901
-0.03269,-0.04
-0.03063,0.01331
0.06454,-0.01927
-0.00786,0.09326
0.03067,0.06376
0.06562,-0.06943
-0.0351,-0.04186
0.04474,0.06394
-0.08466,-0.02139
-0.08664,-0.01673
-0.00107,0.00214
0.01259,-0.00601
0.04602,-0.08167
0.05182,0.01974
0.08854,-0.03066
-0.02915,0.00257
0.00175,-0.02625
0.06055,0.06318
-0.06559,-0.02122
0.03581,-0.03699
0.01546,0.06318
-0.00924,-0.07285
-0.01696,0.04152
-0.0587,-0.08066
-0.06579,-0.00729
0.00551,0.03435
-0.04942,-0.03063
0.00892,0.04713
-0.0181,-0.01955
0.03964,-0.02679
0.08368,0.03993
-0.02378,-0.0426
0.03119,0.0342
-0.08724,-0.04175
0.01484,-0.06713
0.03286,0.08364
-0.02826,0.01307
-0.06369,0.01339
-0.03954,-0.07568
0.08083,0.05751
-0.03376,0.05372
0.00078,0.09282
-0.04136,0.01384
-0.01159,0.06391
0.04428,-0.02317
0.04287,-0.05093
0.07047,0.02318
0.05144,-0.08571
